"Strain"	"Nitro"	"DayP"	"DensP"	"DensPLSD"	"DensPUSD"	"DensPLCI"	"DensPUCI"	"Model"
"CR6"	"100"	4.5	419690.7862	335752.62896	503628.94344	335752.62896	503628.94344	"Logistic"
"CR6"	"100"	4.6	425462.8925	340370.314	510555.471	340370.314	510555.471	"Logistic"
"CR6"	"100"	4.7	430794.5453	344635.63624	516953.45436	344635.63624	516953.45436	"Logistic"
"CR6"	"100"	4.8	435712.7923	348570.23384	522855.35076	348570.23384	522855.35076	"Logistic"
"CR6"	"100"	4.9	440244.1685	352195.3348	528293.0022	352195.3348	528293.0022	"Logistic"
"CR6"	"100"	5	444414.4685	355531.5748	533297.3622	355531.5748	533297.3622	"Logistic"
"CR6"	"100"	5.1	448248.5747	358598.85976	537898.28964	358598.85976	537898.28964	"Logistic"
"CR6"	"100"	5.2	451770.3307	361416.26456	542124.39684	361416.26456	542124.39684	"Logistic"
"CR6"	"100"	5.3	455002.4545	364001.9636	546002.9454	364001.9636	546002.9454	"Logistic"
"CR6"	"100"	5.4	457966.4848	366373.18784	549559.78176	366373.18784	549559.78176	"Logistic"
"CR6"	"100"	5.5	460682.7533	368546.20264	552819.30396	368546.20264	552819.30396	"Logistic"
"CR6"	"100"	5.6	463170.3796	370536.30368	555804.45552	370536.30368	555804.45552	"Logistic"
"CR6"	"100"	5.7	465447.2827	372357.82616	558536.73924	372357.82616	558536.73924	"Logistic"
"CR6"	"100"	5.8	467530.2067	374024.16536	561036.24804	374024.16536	561036.24804	"Logistic"
"CR6"	"100"	5.9	469434.7558	375547.80464	563321.70696	375547.80464	563321.70696	"Logistic"
"CR6"	"100"	6	471175.4385	376940.3508	565410.5262	376940.3508	565410.5262	"Logistic"
"CR6"	"100"	6.1	472765.7153	378212.57224	567318.85836	378212.57224	567318.85836	"Logistic"
"CR6"	"100"	6.2	474218.0511	379374.44088	569061.66132	379374.44088	569061.66132	"Logistic"
"CR6"	"100"	6.3	475543.9694	380435.17552	570652.76328	380435.17552	570652.76328	"Logistic"
"CR6"	"100"	6.4	476754.1072	381403.28576	572104.92864	381403.28576	572104.92864	"Logistic"
"CR6"	"100"	6.5	477858.2696	382286.61568	573429.92352	382286.61568	573429.92352	"Logistic"
"CR6"	"100"	6.6	478865.4841	383092.38728	574638.58092	383092.38728	574638.58092	"Logistic"
"CR6"	"100"	6.7	479784.0526	383827.24208	575740.86312	383827.24208	575740.86312	"Logistic"
"CR6"	"100"	6.8	480621.6024	384497.28192	576745.92288	384497.28192	576745.92288	"Logistic"
"CR6"	"100"	6.9	481385.1346	385108.10768	577662.16152	385108.10768	577662.16152	"Logistic"
"CR6"	"100"	7	482081.0702	385664.85616	578497.28424	385664.85616	578497.28424	"Logistic"
"CR6"	"100"	7.1	482715.294	386172.2352	579258.3528	386172.2352	579258.3528	"Logistic"
"CR6"	"100"	7.2	483293.1956	386634.55648	579951.83472	386634.55648	579951.83472	"Logistic"
"CR6"	"100"	7.3	483819.7081	387055.76648	580583.64972	387055.76648	580583.64972	"Logistic"
"CR6"	"100"	7.4	484299.3443	387439.47544	581159.21316	387439.47544	581159.21316	"Logistic"
"CR6"	"100"	7.5	484736.2305	387788.9844	581683.4766	387788.9844	581683.4766	"Logistic"
"CR6"	"100"	7.6	485134.1381	388107.31048	582160.96572	388107.31048	582160.96572	"Logistic"
"CR6"	"100"	7.7	485496.5122	388397.20976	582595.81464	388397.20976	582595.81464	"Logistic"
"CR6"	"100"	7.8	485826.4993	388661.19944	582991.79916	388661.19944	582991.79916	"Logistic"
"CR6"	"100"	7.9	486126.9716	388901.57728	583352.36592	388901.57728	583352.36592	"Logistic"
"CR6"	"100"	8	486400.5506	389120.44048	583680.66072	389120.44048	583680.66072	"Logistic"
"CR6"	"100"	8.1	486649.628	389319.7024	583979.5536	389319.7024	583979.5536	"Logistic"
"CR6"	"100"	8.2	486876.3856	389501.10848	584251.66272	389501.10848	584251.66272	"Logistic"
"CR6"	"100"	8.3	487082.813	389666.2504	584499.3756	389666.2504	584499.3756	"Logistic"
"CR6"	"100"	8.4	487270.7242	389816.57936	584724.86904	389816.57936	584724.86904	"Logistic"
"CR6"	"100"	8.5	487441.7728	389953.41824	584930.12736	389953.41824	584930.12736	"Logistic"
"CR6"	"100"	8.6	487597.4662	390077.97296	585116.95944	390077.97296	585116.95944	"Logistic"
"CR6"	"100"	8.7	487739.1779	390191.34232	585287.01348	390191.34232	585287.01348	"Logistic"
"CR6"	"100"	8.8	487868.1593	390294.52744	585441.79116	390294.52744	585441.79116	"Logistic"
"CR6"	"100"	8.9	487985.5507	390388.44056	585582.66084	390388.44056	585582.66084	"Logistic"
"CR6"	"100"	9	488092.3908	390473.91264	585710.86896	390473.91264	585710.86896	"Logistic"
"CR6"	"100"	9.1	488189.6255	390551.7004	585827.5506	390551.7004	585827.5506	"Logistic"
"CR6"	"100"	9.2	488278.1165	390622.4932	585933.7398	390622.4932	585933.7398	"Logistic"
"CR6"	"100"	9.3	488358.6485	390686.9188	586030.3782	390686.9188	586030.3782	"Logistic"
"CR6"	"100"	9.4	488431.9361	390745.54888	586118.32332	390745.54888	586118.32332	"Logistic"
"CR6"	"100"	9.5	488498.6298	390798.90384	586198.35576	390798.90384	586198.35576	"Logistic"
"CR6"	"100"	9.6	488559.3219	390847.45752	586271.18628	390847.45752	586271.18628	"Logistic"
"CR6"	"100"	9.7	488614.5519	390891.64152	586337.46228	390891.64152	586337.46228	"Logistic"
"CR6"	"100"	9.8	488664.8106	390931.84848	586397.77272	390931.84848	586397.77272	"Logistic"
"CR6"	"100"	9.9	488710.545	390968.436	586452.654	390968.436	586452.654	"Logistic"
"CR6"	"100"	10	488752.162	391001.7296	586502.5944	391001.7296	586502.5944	"Logistic"
