Strain	Nitro	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR6	4	5	21	1	1,29	2	1	79
CR6	4	5	21	1	1,29	2	2	84
CR6	4	5	21	1	1,29	2	3	97
CR6	6	5	21	1	1,29	2	1	137
CR6	6	5	21	1	1,29	2	2	107
CR6	6	5	21	1	1,29	2	3	125
CR6	8	5	21	1	1,29	2	1	110
CR6	8	5	21	1	1,29	2	2	120
CR6	8	5	21	1	1,29	2	3	108
CR6	10	5	21	1	1,29	2	1	106
CR6	10	5	21	1	1,29	2	2	175
CR6	10	5	21	1	1,29	2	3	173
CR6	20	5	21	1	1,29	2	1	180
CR6	20	5	21	1	1,29	2	2	137
CR6	20	5	21	1	1,29	2	3	149
CR6	30	5	21	1	1,29	2	1	196
CR6	30	5	21	1	1,29	2	2	207
CR6	30	5	21	1	1,29	2	3	256
CR1	1	5	21	1	1,29	3	1	84
CR1	1	5	21	1	1,29	3	2	77
CR1	1	5	21	1	1,29	3	3	103
CR1	2	5	21	1	1,29	3	1	225
CR1	2	5	21	1	1,29	3	2	225
CR1	2	5	21	1	1,29	3	3	239
CR1	4	5	21	1	1,29	3	1	215
CR1	4	5	21	1	1,29	3	2	185
CR1	4	5	21	1	1,29	3	3	207
CR1	6	5	21	1	1,29	3	1	228
CR1	6	5	21	1	1,29	3	2	237
CR1	6	5	21	1	1,29	3	3	221
CR1	8	5	21	1	1,29	3	1	296
CR1	8	5	21	1	1,29	3	2	270
CR1	8	5	21	1	1,29	3	3	287
CR1	10	5	21	1	1,29	3	1	300
CR1	10	5	21	1	1,29	3	2	260
CR1	10	5	21	1	1,29	3	3	255
CR1	20	5	21	1	1,29	3	1	345
CR1	20	5	21	1	1,29	3	2	363
CR1	20	5	21	1	1,29	3	3	363
CR1	30	5	21	1	1,29	3	1	531
CR1	30	5	21	1	1,29	3	2	504
CR1	30	5	21	1	1,29	3	3	525
CR2	1	5	21	1	1,29	3	1	814
CR2	1	5	21	1	1,29	3	2	805
CR2	1	5	21	1	1,29	3	3	796
CR2	2	5	21	1	1,29	3	1	786
CR2	2	5	21	1	1,29	3	2	1007
CR2	2	5	21	1	1,29	3	3	882
CR2	4	5	21	1	1,29	3	1	1467
CR2	4	5	21	1	1,29	3	2	1414
CR2	4	5	21	1	1,29	3	3	1427
CR2	6	5	21	1	1,29	3	1	1287
CR2	6	5	21	1	1,29	3	2	1477
CR2	6	5	21	1	1,29	3	3	1270
CR2	8	5	21	1	1,29	3	1	1124
CR2	8	5	21	1	1,29	3	2	1035
CR2	8	5	21	1	1,29	3	3	1289
CR2	10	5	21	1	1,29	3	1	1093
CR2	10	5	21	1	1,29	3	2	1435
CR2	10	5	21	1	1,29	3	3	1454
CR2	20	5	21	1	1,29	3	1	1546
CR2	20	5	21	1	1,29	3	2	1125
CR2	20	5	21	1	1,29	3	3	1300
CR2	30	5	21	1	1,29	3	1	1202
CR2	30	5	21	1	1,29	3	2	1528
CR2	30	5	21	1	1,29	3	3	1688
CR3	1	5	21	1	1,29	3	1	735
CR3	1	5	21	1	1,29	3	2	839
CR3	1	5	21	1	1,29	3	3	717
CR3	2	5	21	1	1,29	3	1	1225
CR3	2	5	21	1	1,29	3	2	1114
CR3	2	5	21	1	1,29	3	3	1097
CR3	4	5	21	1	1,29	3	1	1452
CR3	4	5	21	1	1,29	3	2	1447
CR3	4	5	21	1	1,29	3	3	1189
CR3	6	5	21	1	1,29	3	1	1151
CR3	6	5	21	1	1,29	3	2	1073
CR3	6	5	21	1	1,29	3	3	1207
CR3	8	5	21	1	1,29	3	1	1033
CR3	8	5	21	1	1,29	3	2	1160
CR3	8	5	21	1	1,29	3	3	1266
CR3	10	5	21	1	1,29	3	1	1151
CR3	10	5	21	1	1,29	3	2	1144
CR3	10	5	21	1	1,29	3	3	1364
CR3	20	5	21	1	1,29	3	1	1227
CR3	20	5	21	1	1,29	3	2	1051
CR3	20	5	21	1	1,29	3	3	1278
CR3	30	5	21	1	1,29	3	1	1365
CR3	30	5	21	1	1,29	3	2	1020
CR3	30	5	21	1	1,29	3	3	1217
CR4	1	5	21	1	1,29	3	1	1003
CR4	1	5	21	1	1,29	3	2	1270
CR4	1	5	21	1	1,29	3	3	1296
CR4	2	5	21	1	1,29	3	1	1176
CR4	2	5	21	1	1,29	3	2	1417
CR4	2	5	21	1	1,29	3	3	1372
CR4	4	5	21	1	1,29	3	1	814
CR4	4	5	21	1	1,29	3	2	1048
CR4	4	5	21	1	1,29	3	3	1106
CR4	6	5	21	1	1,29	3	1	832
CR4	6	5	21	1	1,29	3	2	770
CR4	6	5	21	1	1,29	3	3	782
CR4	8	5	21	1	1,29	3	1	913
CR4	8	5	21	1	1,29	3	2	821
CR4	8	5	21	1	1,29	3	3	1014
CR4	10	5	21	1	1,29	3	1	901
CR4	10	5	21	1	1,29	3	2	1105
CR4	10	5	21	1	1,29	3	3	818
CR4	20	5	21	1	1,29	3	1	798
CR4	20	5	21	1	1,29	3	2	748
CR4	20	5	21	1	1,29	3	3	917
CR4	30	5	21	1	1,29	3	1	665
CR4	30	5	21	1	1,29	3	2	754
CR4	30	5	21	1	1,29	3	3	808
CR5	1	5	21	1	1,29	3	1	880
CR5	1	5	21	1	1,29	3	2	872
CR5	1	5	21	1	1,29	3	3	1105
CR5	2	5	21	1	1,29	3	1	921
CR5	2	5	21	1	1,29	3	2	1155
CR5	2	5	21	1	1,29	3	3	1116
CR5	4	5	21	1	1,29	3	1	832
CR5	4	5	21	1	1,29	3	2	896
CR5	4	5	21	1	1,29	3	3	997
CR5	6	5	21	1	1,29	3	1	723
CR5	6	5	21	1	1,29	3	2	761
CR5	6	5	21	1	1,29	3	3	815
CR5	8	5	21	1	1,29	3	1	778
CR5	8	5	21	1	1,29	3	2	763
CR5	8	5	21	1	1,29	3	3	711
CR5	10	5	21	1	1,29	3	1	921
CR5	10	5	21	1	1,29	3	2	770
CR5	10	5	21	1	1,29	3	3	981
CR5	20	5	21	1	1,29	3	1	1087
CR5	20	5	21	1	1,29	3	2	981
CR5	20	5	21	1	1,29	3	3	973
CR5	30	5	21	1	1,29	3	1	923
CR5	30	5	21	1	1,29	3	2	919
CR5	30	5	21	1	1,29	3	3	1099
CR6	1	5	21	1	1,29	3	1	1211
CR6	1	5	21	1	1,29	3	2	974
CR6	1	5	21	1	1,29	3	3	1117
CR6	2	5	21	1	1,29	3	1	1093
CR6	2	5	21	1	1,29	3	2	1130
CR6	2	5	21	1	1,29	3	3	1343
CR6	4	5	21	1	1,29	3	1	874
CR6	4	5	21	1	1,29	3	2	1166
CR6	4	5	21	1	1,29	3	3	1226
CR6	6	5	21	1	1,29	3	1	861
CR6	6	5	21	1	1,29	3	2	834
CR6	6	5	21	1	1,29	3	3	695
CR6	8	5	21	1	1,29	3	1	806
CR6	8	5	21	1	1,29	3	2	687
CR6	8	5	21	1	1,29	3	3	648
CR6	10	5	21	1	1,29	3	1	800
CR6	10	5	21	1	1,29	3	2	1420
CR6	10	5	21	1	1,29	3	3	1377
CR6	20	5	21	1	1,29	3	1	1308
CR6	20	5	21	1	1,29	3	2	1061
CR6	20	5	21	1	1,29	3	3	998
CR6	30	5	21	1	1,29	3	1	825
CR6	30	5	21	1	1,29	3	2	1077
CR6	30	5	21	1	1,29	3	3	1088
CR1	1	5	21	1	1,29	4	1	99
CR1	1	5	21	1	1,29	4	2	97
CR1	1	5	21	1	1,29	4	3	103
CR1	2	5	21	1	1,29	4	1	278
CR1	2	5	21	1	1,29	4	2	239
CR1	2	5	21	1	1,29	4	3	326
CR1	4	5	21	1	1,29	4	1	216
CR1	4	5	21	1	1,29	4	2	240
