"Strain"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"	"IngesPLCI"	"IngesPUCI"	"Model"
"CR1"	0.1	0.0015	0.0012	0.0018	0.0012	0.0018	"Holling II"
"CR1"	0.2	0.003	0.0024	0.0036	0.0024	0.0036	"Holling II"
"CR1"	0.3	0.0045	0.0036	0.0054	0.0036	0.0054	"Holling II"
"CR1"	0.4	0.0059	0.00472	0.00708	0.00472	0.00708	"Holling II"
"CR1"	0.5	0.0072	0.0058	0.00864	0.00576	0.00864	"Holling II"
"CR1"	0.6	0.0085	0.0069	0.0102	0.0068	0.0102	"Holling II"
"CR1"	0.7	0.0098	0.008	0.0116	0.00784	0.01176	"Holling II"
"CR1"	0.8	0.011	0.0091	0.013	0.0088	0.0132	"Holling II"
"CR1"	0.9	0.0122	0.0102	0.0143	0.00976	0.01464	"Holling II"
"CR1"	1	0.0134	0.0112	0.0156	0.01072	0.01608	"Holling II"
"CR1"	1.1	0.0146	0.0123	0.0168	0.01168	0.01752	"Holling II"
"CR1"	1.2	0.0157	0.0133	0.018	0.01256	0.01884	"Holling II"
"CR1"	1.3	0.0167	0.0143	0.0192	0.01336	0.02004	"Holling II"
"CR1"	1.4	0.0178	0.0153	0.0203	0.01424	0.02136	"Holling II"
"CR1"	1.5	0.0188	0.0163	0.0213	0.01504	0.02256	"Holling II"
"CR1"	1.6	0.0198	0.0172	0.0223	0.01584	0.02376	"Holling II"
"CR1"	1.7	0.0208	0.0182	0.0233	0.01664	0.02496	"Holling II"
"CR1"	1.8	0.0217	0.0191	0.0243	0.01736	0.02604	"Holling II"
"CR1"	1.9	0.0226	0.02	0.0252	0.01808	0.02712	"Holling II"
"CR1"	2	0.0235	0.0209	0.0261	0.0188	0.0282	"Holling II"
"CR1"	2.1	0.0244	0.0218	0.027	0.01952	0.02928	"Holling II"
"CR1"	2.2	0.0252	0.0227	0.0278	0.02016	0.03024	"Holling II"
"CR1"	2.3	0.0261	0.0235	0.0286	0.02088	0.03132	"Holling II"
"CR1"	2.4	0.0269	0.0243	0.0294	0.02152	0.03228	"Holling II"
"CR1"	2.5	0.0277	0.0252	0.0302	0.02216	0.03324	"Holling II"
"CR1"	2.6	0.0284	0.0259	0.0309	0.02272	0.034	"Holling II"
"CR1"	2.7	0.0292	0.0267	0.0317	0.02336	0.0348	"Holling II"
"CR1"	2.8	0.0299	0.0275	0.0324	0.02392	0.0355	"Holling II"
"CR1"	2.9	0.0307	0.0282	0.0331	0.02456	0.0362	"Holling II"
"CR1"	3	0.0314	0.029	0.0338	0.02512	0.0369	"Holling II"
"CR1"	3.1	0.0321	0.0297	0.0345	0.02568	0.0376	"Holling II"
"CR1"	3.2	0.0327	0.0304	0.0351	0.02616	0.0383	"Holling II"
"CR1"	3.3	0.0334	0.031	0.0358	0.02672	0.0389	"Holling II"
"CR1"	3.4	0.0341	0.0317	0.0364	0.02728	0.0396	"Holling II"
"CR1"	3.5	0.0347	0.0323	0.0371	0.02776	0.0402	"Holling II"
"CR1"	3.6	0.0353	0.0329	0.0377	0.02824	0.0409	"Holling II"
"CR1"	3.7	0.0359	0.0335	0.0383	0.02872	0.0415	"Holling II"
"CR1"	3.8	0.0365	0.0341	0.0389	0.0292	0.0422	"Holling II"
"CR1"	3.9	0.0371	0.0347	0.0395	0.02968	0.0428	"Holling II"
"CR1"	4	0.0377	0.0352	0.0401	0.03016	0.0435	"Holling II"
"CR1"	4.1	0.0382	0.0358	0.0407	0.03056	0.0441	"Holling II"
"CR1"	4.2	0.0388	0.0363	0.0413	0.03104	0.0448	"Holling II"
"CR1"	4.3	0.0393	0.0368	0.0419	0.03144	0.0454	"Holling II"
"CR1"	4.4	0.0399	0.0373	0.0425	0.03192	0.046	"Holling II"
"CR1"	4.5	0.0404	0.0377	0.0431	0.03232	0.0467	"Holling II"
"CR1"	4.6	0.0409	0.0382	0.0436	0.03272	0.0473	"Holling II"
"CR1"	4.7	0.0414	0.0386	0.0442	0.03312	0.048	"Holling II"
"CR1"	4.8	0.0419	0.039	0.0448	0.03352	0.0486	"Holling II"
"CR1"	4.9	0.0424	0.0394	0.0453	0.03392	0.0492	"Holling II"
"CR1"	5	0.0429	0.0398	0.0459	0.03432	0.0499	"Holling II"
"CR1"	5.1	0.0433	0.0402	0.0464	0.03464	0.0505	"Holling II"
"CR1"	5.2	0.0438	0.0406	0.047	0.03504	0.0511	"Holling II"
"CR1"	5.3	0.0442	0.0409	0.0475	0.03536	0.0518	"Holling II"
"CR1"	5.4	0.0447	0.0413	0.0481	0.03576	0.0524	"Holling II"
"CR1"	5.5	0.0451	0.0416	0.0486	0.03608	0.053	"Holling II"
"CR1"	5.6	0.0455	0.0419	0.0491	0.0364	0.0537	"Holling II"
"CR1"	5.7	0.046	0.0423	0.0496	0.0368	0.0543	"Holling II"
"CR1"	5.8	0.0464	0.0426	0.0502	0.03712	0.0549	"Holling II"
"CR1"	5.9	0.0468	0.0429	0.0507	0.03744	0.0555	"Holling II"
"CR1"	6	0.0472	0.0432	0.0512	0.03776	0.0562	"Holling II"
"CR1"	6.1	0.0476	0.0435	0.0517	0.03808	0.0568	"Holling II"
"CR1"	6.2	0.0479	0.0437	0.0522	0.03832	0.0574	"Holling II"
"CR1"	6.3	0.0483	0.044	0.0527	0.03864	0.05796	"Holling II"
"CR1"	6.4	0.0487	0.0443	0.0531	0.03896	0.05844	"Holling II"
"CR1"	6.5	0.0491	0.0445	0.0536	0.03928	0.05892	"Holling II"
"CR1"	6.6	0.0494	0.0448	0.0541	0.03952	0.05928	"Holling II"
"CR1"	6.7	0.0498	0.045	0.0546	0.03984	0.05976	"Holling II"
"CR1"	6.8	0.0501	0.0453	0.055	0.04008	0.06012	"Holling II"
"CR1"	6.9	0.0505	0.0455	0.0555	0.0404	0.0606	"Holling II"
"CR1"	7	0.0508	0.0457	0.0559	0.04064	0.06096	"Holling II"
"CR1"	7.1	0.0512	0.0459	0.0564	0.04096	0.06144	"Holling II"
"CR1"	7.2	0.0515	0.0462	0.0568	0.0412	0.0618	"Holling II"
"CR1"	7.3	0.0518	0.0464	0.0573	0.04144	0.06216	"Holling II"
"CR1"	7.4	0.0521	0.0466	0.0577	0.04168	0.06252	"Holling II"
"CR1"	7.5	0.0524	0.0468	0.0581	0.04192	0.06288	"Holling II"
"CR1"	7.6	0.0528	0.047	0.0585	0.04224	0.06336	"Holling II"
"CR1"	7.7	0.0531	0.0472	0.059	0.04248	0.06372	"Holling II"
"CR1"	7.8	0.0534	0.0473	0.0594	0.04272	0.06408	"Holling II"
"CR1"	7.9	0.0537	0.0475	0.0598	0.04296	0.06444	"Holling II"
"CR1"	8	0.054	0.0477	0.0602	0.0432	0.0648	"Holling II"
"CR1"	8.1	0.0542	0.0479	0.0606	0.04336	0.06504	"Holling II"
"CR1"	8.2	0.0545	0.0481	0.061	0.0436	0.0654	"Holling II"
"CR1"	8.3	0.0548	0.0482	0.0614	0.04384	0.06576	"Holling II"
"CR1"	8.4	0.0551	0.0484	0.0618	0.04408	0.06612	"Holling II"
"CR1"	8.5	0.0554	0.0486	0.0622	0.04432	0.06648	"Holling II"
"CR1"	8.6	0.0556	0.0487	0.0625	0.04448	0.06672	"Holling II"
"CR1"	8.7	0.0559	0.0489	0.0629	0.04472	0.06708	"Holling II"
"CR1"	8.8	0.0562	0.049	0.0633	0.04496	0.06744	"Holling II"
"CR1"	8.9	0.0564	0.0492	0.0637	0.04512	0.06768	"Holling II"
"CR1"	9	0.0567	0.0493	0.064	0.04536	0.06804	"Holling II"
"CR1"	9.1	0.0569	0.0495	0.0644	0.04552	0.06828	"Holling II"
"CR1"	9.2	0.0572	0.0496	0.0647	0.04576	0.06864	"Holling II"
"CR1"	9.3	0.0574	0.0497	0.0651	0.04592	0.06888	"Holling II"
"CR1"	9.4	0.0577	0.0499	0.0654	0.04616	0.06924	"Holling II"
"CR1"	9.5	0.0579	0.05	0.0658	0.04632	0.06948	"Holling II"
"CR1"	9.6	0.0581	0.0501	0.0661	0.04648	0.06972	"Holling II"
"CR1"	9.7	0.0584	0.0503	0.0665	0.04672	0.07008	"Holling II"
"CR1"	9.8	0.0586	0.0504	0.0668	0.04688	0.07032	"Holling II"
"CR1"	9.9	0.0588	0.0505	0.0671	0.04704	0.07056	"Holling II"
"CR1"	10	0.0591	0.0506	0.0675	0.04728	0.07092	"Holling II"
"CR1"	10.1	0.0593	0.0508	0.0678	0.04744	0.07116	"Holling II"
"CR1"	10.2	0.0595	0.0509	0.0681	0.0476	0.0714	"Holling II"
"CR1"	10.3	0.0597	0.051	0.0684	0.04776	0.07164	"Holling II"
"CR1"	10.4	0.0599	0.0511	0.0687	0.04792	0.07188	"Holling II"
"CR1"	10.5	0.0601	0.0512	0.0691	0.04808	0.07212	"Holling II"
"CR1"	10.6	0.0603	0.0513	0.0694	0.04824	0.07236	"Holling II"
"CR1"	10.7	0.0606	0.0514	0.0697	0.04848	0.07272	"Holling II"
"CR1"	10.8	0.0608	0.0515	0.07	0.04864	0.07296	"Holling II"
"CR1"	10.9	0.061	0.0516	0.0703	0.0488	0.0732	"Holling II"
"CR1"	11	0.0612	0.0517	0.0706	0.04896	0.07344	"Holling II"
"CR1"	11.1	0.0614	0.0518	0.0709	0.04912	0.07368	"Holling II"
"CR1"	11.2	0.0615	0.0519	0.0712	0.0492	0.0738	"Holling II"
"CR1"	11.3	0.0617	0.052	0.0714	0.04936	0.07404	"Holling II"
"CR1"	11.4	0.0619	0.0521	0.0717	0.04952	0.07428	"Holling II"
"CR1"	11.5	0.0621	0.0522	0.072	0.04968	0.07452	"Holling II"
"CR1"	11.6	0.0623	0.0523	0.0723	0.04984	0.07476	"Holling II"
"CR1"	11.7	0.0625	0.0524	0.0726	0.05	0.075	"Holling II"
"CR1"	11.8	0.0627	0.0525	0.0728	0.05016	0.07524	"Holling II"
"CR1"	11.9	0.0629	0.0526	0.0731	0.05032	0.07548	"Holling II"
"CR1"	12	0.063	0.0527	0.0734	0.0504	0.0756	"Holling II"
"CR1"	12.1	0.0632	0.0528	0.0736	0.05056	0.07584	"Holling II"
"CR1"	12.2	0.0634	0.0528	0.0739	0.05072	0.07608	"Holling II"
"CR1"	12.3	0.0635	0.0529	0.0742	0.0508	0.0762	"Holling II"
"CR1"	12.4	0.0637	0.053	0.0744	0.05096	0.07644	"Holling II"
"CR1"	12.5	0.0639	0.0531	0.0747	0.05112	0.07668	"Holling II"
"CR1"	12.6	0.0641	0.0532	0.0749	0.05128	0.07692	"Holling II"
"CR1"	12.7	0.0642	0.0532	0.0752	0.05136	0.07704	"Holling II"
"CR1"	12.8	0.0644	0.0533	0.0754	0.05152	0.07728	"Holling II"
"CR1"	12.9	0.0645	0.0534	0.0757	0.0516	0.0774	"Holling II"
"CR1"	13	0.0647	0.0535	0.0759	0.05176	0.07764	"Holling II"
"CR1"	13.1	0.0649	0.0535	0.0762	0.05192	0.07788	"Holling II"
"CR1"	13.2	0.065	0.0536	0.0764	0.052	0.078	"Holling II"
"CR1"	13.3	0.0652	0.0537	0.0767	0.05216	0.07824	"Holling II"
"CR1"	13.4	0.0653	0.0537	0.0769	0.05224	0.07836	"Holling II"
"CR1"	13.5	0.0655	0.0538	0.0771	0.0524	0.0786	"Holling II"
"CR1"	13.6	0.0656	0.0539	0.0774	0.05248	0.07872	"Holling II"
"CR1"	13.7	0.0658	0.054	0.0776	0.05264	0.07896	"Holling II"
"CR1"	13.8	0.0659	0.054	0.0778	0.05272	0.07908	"Holling II"
"CR1"	13.9	0.0661	0.0541	0.078	0.05288	0.07932	"Holling II"
"CR1"	14	0.0662	0.0541	0.0783	0.05296	0.07944	"Holling II"
"CR1"	14.1	0.0664	0.0542	0.0785	0.05312	0.07968	"Holling II"
"CR1"	14.2	0.0665	0.0543	0.0787	0.0532	0.0798	"Holling II"
"CR1"	14.3	0.0666	0.0543	0.0789	0.05328	0.07992	"Holling II"
"CR1"	14.4	0.0668	0.0544	0.0791	0.05344	0.08016	"Holling II"
"CR1"	14.5	0.0669	0.0545	0.0794	0.05352	0.08028	"Holling II"
"CR1"	14.6	0.067	0.0545	0.0796	0.0536	0.0804	"Holling II"
"CR1"	14.7	0.0672	0.0546	0.0798	0.05376	0.08064	"Holling II"
"CR1"	14.8	0.0673	0.0546	0.08	0.05384	0.08076	"Holling II"
"CR1"	14.9	0.0674	0.0547	0.0802	0.05392	0.08088	"Holling II"
"CR1"	15	0.0676	0.0547	0.0804	0.05408	0.08112	"Holling II"
"CR2"	0.1	0.0036	0.00288	0.00432	0.00288	0.00432	"Holling II"
"CR2"	0.2	0.0069	0.00552	0.00828	0.00552	0.00828	"Holling II"
"CR2"	0.3	0.0101	0.00808	0.01212	0.00808	0.01212	"Holling II"
"CR2"	0.4	0.0131	0.01048	0.01572	0.01048	0.01572	"Holling II"
"CR2"	0.5	0.0159	0.0128	0.019	0.01272	0.01908	"Holling II"
"CR2"	0.6	0.0186	0.0151	0.022	0.01488	0.02232	"Holling II"
"CR2"	0.7	0.0211	0.0174	0.0248	0.01688	0.02532	"Holling II"
"CR2"	0.8	0.0235	0.0195	0.0274	0.0188	0.0282	"Holling II"
"CR2"	0.9	0.0258	0.0216	0.0299	0.02064	0.03096	"Holling II"
"CR2"	1	0.0279	0.0237	0.0322	0.02232	0.03348	"Holling II"
"CR2"	1.1	0.03	0.0256	0.0343	0.024	0.036	"Holling II"
"CR2"	1.2	0.0319	0.0275	0.0363	0.02552	0.03828	"Holling II"
"CR2"	1.3	0.0338	0.0293	0.0383	0.02704	0.04056	"Holling II"
"CR2"	1.4	0.0356	0.0311	0.0401	0.02848	0.04272	"Holling II"
"CR2"	1.5	0.0373	0.0328	0.0418	0.02984	0.04476	"Holling II"
"CR2"	1.6	0.0389	0.0345	0.0434	0.03112	0.04668	"Holling II"
"CR2"	1.7	0.0405	0.036	0.0449	0.0324	0.0486	"Holling II"
"CR2"	1.8	0.042	0.0376	0.0464	0.0336	0.0504	"Holling II"
"CR2"	1.9	0.0434	0.0391	0.0478	0.03472	0.05208	"Holling II"
"CR2"	2	0.0448	0.0405	0.0492	0.03584	0.05376	"Holling II"
"CR2"	2.1	0.0462	0.0419	0.0505	0.03696	0.05544	"Holling II"
"CR2"	2.2	0.0474	0.0432	0.0517	0.03792	0.05688	"Holling II"
"CR2"	2.3	0.0487	0.0445	0.0529	0.03896	0.0581	"Holling II"
"CR2"	2.4	0.0499	0.0457	0.0541	0.03992	0.0592	"Holling II"
"CR2"	2.5	0.051	0.0469	0.0552	0.0408	0.0603	"Holling II"
"CR2"	2.6	0.0521	0.048	0.0562	0.04168	0.0614	"Holling II"
"CR2"	2.7	0.0532	0.0491	0.0573	0.04256	0.0625	"Holling II"
"CR2"	2.8	0.0542	0.0501	0.0583	0.04336	0.0635	"Holling II"
"CR2"	2.9	0.0552	0.0511	0.0593	0.04416	0.0645	"Holling II"
"CR2"	3	0.0562	0.0521	0.0602	0.04496	0.0655	"Holling II"
"CR2"	3.1	0.0571	0.053	0.0612	0.04568	0.0664	"Holling II"
"CR2"	3.2	0.058	0.0539	0.0621	0.0464	0.0674	"Holling II"
"CR2"	3.3	0.0589	0.0548	0.063	0.04712	0.0683	"Holling II"
"CR2"	3.4	0.0597	0.0556	0.0639	0.04776	0.0692	"Holling II"
"CR2"	3.5	0.0606	0.0564	0.0647	0.04848	0.0701	"Holling II"
"CR2"	3.6	0.0614	0.0571	0.0656	0.04912	0.071	"Holling II"
"CR2"	3.7	0.0621	0.0579	0.0664	0.04968	0.0719	"Holling II"
"CR2"	3.8	0.0629	0.0586	0.0672	0.05032	0.0728	"Holling II"
"CR2"	3.9	0.0636	0.0592	0.068	0.05088	0.0736	"Holling II"
"CR2"	4	0.0643	0.0599	0.0688	0.05144	0.0745	"Holling II"
"CR2"	4.1	0.065	0.0605	0.0695	0.052	0.0753	"Holling II"
"CR2"	4.2	0.0657	0.0611	0.0703	0.05256	0.0762	"Holling II"
"CR2"	4.3	0.0663	0.0616	0.071	0.05304	0.077	"Holling II"
"CR2"	4.4	0.067	0.0622	0.0717	0.0536	0.0778	"Holling II"
"CR2"	4.5	0.0676	0.0627	0.0725	0.05408	0.0786	"Holling II"
"CR2"	4.6	0.0682	0.0632	0.0732	0.05456	0.0794	"Holling II"
"CR2"	4.7	0.0688	0.0637	0.0738	0.05504	0.0802	"Holling II"
"CR2"	4.8	0.0693	0.0642	0.0745	0.05544	0.081	"Holling II"
"CR2"	4.9	0.0699	0.0646	0.0752	0.05592	0.0818	"Holling II"
"CR2"	5	0.0704	0.0651	0.0758	0.05632	0.0825	"Holling II"
"CR2"	5.1	0.071	0.0655	0.0765	0.0568	0.0833	"Holling II"
"CR2"	5.2	0.0715	0.0659	0.0771	0.0572	0.0841	"Holling II"
"CR2"	5.3	0.072	0.0663	0.0777	0.0576	0.0848	"Holling II"
"CR2"	5.4	0.0725	0.0667	0.0783	0.058	0.0855	"Holling II"
"CR2"	5.5	0.073	0.067	0.0789	0.0584	0.0863	"Holling II"
"CR2"	5.6	0.0734	0.0674	0.0795	0.05872	0.087	"Holling II"
"CR2"	5.7	0.0739	0.0677	0.0801	0.05912	0.0877	"Holling II"
"CR2"	5.8	0.0744	0.0681	0.0806	0.05952	0.0884	"Holling II"
"CR2"	5.9	0.0748	0.0684	0.0812	0.05984	0.0891	"Holling II"
"CR2"	6	0.0752	0.0687	0.0817	0.06016	0.0898	"Holling II"
"CR2"	6.1	0.0756	0.069	0.0823	0.06048	0.0905	"Holling II"
"CR2"	6.2	0.0761	0.0693	0.0828	0.06088	0.0911	"Holling II"
"CR2"	6.3	0.0765	0.0696	0.0833	0.0612	0.0918	"Holling II"
"CR2"	6.4	0.0769	0.0699	0.0838	0.06152	0.09228	"Holling II"
"CR2"	6.5	0.0772	0.0702	0.0843	0.06176	0.09264	"Holling II"
"CR2"	6.6	0.0776	0.0704	0.0848	0.06208	0.09312	"Holling II"
"CR2"	6.7	0.078	0.0707	0.0853	0.0624	0.0936	"Holling II"
"CR2"	6.8	0.0783	0.0709	0.0858	0.06264	0.09396	"Holling II"
"CR2"	6.9	0.0787	0.0712	0.0862	0.06296	0.09444	"Holling II"
"CR2"	7	0.0791	0.0714	0.0867	0.06328	0.09492	"Holling II"
"CR2"	7.1	0.0794	0.0717	0.0871	0.06352	0.09528	"Holling II"
"CR2"	7.2	0.0797	0.0719	0.0876	0.06376	0.09564	"Holling II"
"CR2"	7.3	0.0801	0.0721	0.088	0.06408	0.09612	"Holling II"
"CR2"	7.4	0.0804	0.0723	0.0884	0.06432	0.09648	"Holling II"
"CR2"	7.5	0.0807	0.0725	0.0889	0.06456	0.09684	"Holling II"
"CR2"	7.6	0.081	0.0727	0.0893	0.0648	0.0972	"Holling II"
"CR2"	7.7	0.0813	0.0729	0.0897	0.06504	0.09756	"Holling II"
"CR2"	7.8	0.0816	0.0731	0.0901	0.06528	0.09792	"Holling II"
"CR2"	7.9	0.0819	0.0733	0.0905	0.06552	0.09828	"Holling II"
"CR2"	8	0.0822	0.0735	0.0909	0.06576	0.09864	"Holling II"
"CR2"	8.1	0.0825	0.0737	0.0913	0.066	0.099	"Holling II"
"CR2"	8.2	0.0827	0.0739	0.0916	0.06616	0.09924	"Holling II"
"CR2"	8.3	0.083	0.074	0.092	0.0664	0.0996	"Holling II"
"CR2"	8.4	0.0833	0.0742	0.0924	0.06664	0.09996	"Holling II"
"CR2"	8.5	0.0836	0.0744	0.0927	0.06688	0.10032	"Holling II"
"CR2"	8.6	0.0838	0.0745	0.0931	0.06704	0.10056	"Holling II"
"CR2"	8.7	0.0841	0.0747	0.0934	0.06728	0.10092	"Holling II"
"CR2"	8.8	0.0843	0.0748	0.0938	0.06744	0.10116	"Holling II"
"CR2"	8.9	0.0846	0.075	0.0941	0.06768	0.10152	"Holling II"
"CR2"	9	0.0848	0.0752	0.0945	0.06784	0.10176	"Holling II"
"CR2"	9.1	0.085	0.0753	0.0948	0.068	0.102	"Holling II"
"CR2"	9.2	0.0853	0.0754	0.0951	0.06824	0.10236	"Holling II"
"CR2"	9.3	0.0855	0.0756	0.0954	0.0684	0.1026	"Holling II"
"CR2"	9.4	0.0857	0.0757	0.0957	0.06856	0.10284	"Holling II"
"CR2"	9.5	0.086	0.0759	0.0961	0.0688	0.1032	"Holling II"
"CR2"	9.6	0.0862	0.076	0.0964	0.06896	0.10344	"Holling II"
"CR2"	9.7	0.0864	0.0761	0.0967	0.06912	0.10368	"Holling II"
"CR2"	9.8	0.0866	0.0762	0.097	0.06928	0.10392	"Holling II"
"CR2"	9.9	0.0868	0.0764	0.0973	0.06944	0.10416	"Holling II"
"CR2"	10	0.087	0.0765	0.0976	0.0696	0.1044	"Holling II"
"CR2"	10.1	0.0872	0.0766	0.0978	0.06976	0.10464	"Holling II"
"CR2"	10.2	0.0874	0.0767	0.0981	0.06992	0.10488	"Holling II"
"CR2"	10.3	0.0876	0.0768	0.0984	0.07008	0.10512	"Holling II"
"CR2"	10.4	0.0878	0.077	0.0987	0.07024	0.10536	"Holling II"
"CR2"	10.5	0.088	0.0771	0.0989	0.0704	0.1056	"Holling II"
"CR2"	10.6	0.0882	0.0772	0.0992	0.07056	0.10584	"Holling II"
"CR2"	10.7	0.0884	0.0773	0.0995	0.07072	0.10608	"Holling II"
"CR2"	10.8	0.0886	0.0774	0.0997	0.07088	0.10632	"Holling II"
"CR2"	10.9	0.0887	0.0775	0.1	0.07096	0.10644	"Holling II"
"CR2"	11	0.0889	0.0776	0.1002	0.07112	0.10668	"Holling II"
"CR2"	11.1	0.0891	0.0777	0.1005	0.07128	0.10692	"Holling II"
"CR2"	11.2	0.0893	0.0778	0.1007	0.07144	0.10716	"Holling II"
"CR2"	11.3	0.0894	0.0779	0.101	0.07152	0.10728	"Holling II"
"CR2"	11.4	0.0896	0.078	0.1012	0.07168	0.10752	"Holling II"
"CR2"	11.5	0.0898	0.0781	0.1015	0.07184	0.10776	"Holling II"
"CR2"	11.6	0.0899	0.0782	0.1017	0.07192	0.10788	"Holling II"
"CR2"	11.7	0.0901	0.0783	0.1019	0.07208	0.10812	"Holling II"
"CR2"	11.8	0.0903	0.0784	0.1022	0.07224	0.10836	"Holling II"
"CR2"	11.9	0.0904	0.0784	0.1024	0.07232	0.10848	"Holling II"
"CR2"	12	0.0906	0.0785	0.1026	0.07248	0.10872	"Holling II"
"CR2"	12.1	0.0907	0.0786	0.1028	0.07256	0.10884	"Holling II"
"CR2"	12.2	0.0909	0.0787	0.1031	0.07272	0.10908	"Holling II"
"CR2"	12.3	0.091	0.0788	0.1033	0.0728	0.1092	"Holling II"
"CR2"	12.4	0.0912	0.0789	0.1035	0.07296	0.10944	"Holling II"
"CR2"	12.5	0.0913	0.0789	0.1037	0.07304	0.10956	"Holling II"
"CR2"	12.6	0.0915	0.079	0.1039	0.0732	0.1098	"Holling II"
"CR2"	12.7	0.0916	0.0791	0.1041	0.07328	0.10992	"Holling II"
"CR2"	12.8	0.0917	0.0792	0.1043	0.07336	0.11004	"Holling II"
"CR2"	12.9	0.0919	0.0793	0.1045	0.07352	0.11028	"Holling II"
"CR2"	13	0.092	0.0793	0.1047	0.0736	0.1104	"Holling II"
"CR2"	13.1	0.0922	0.0794	0.1049	0.07376	0.11064	"Holling II"
"CR2"	13.2	0.0923	0.0795	0.1051	0.07384	0.11076	"Holling II"
"CR2"	13.3	0.0924	0.0795	0.1053	0.07392	0.11088	"Holling II"
"CR2"	13.4	0.0925	0.0796	0.1055	0.074	0.111	"Holling II"
"CR2"	13.5	0.0927	0.0797	0.1057	0.07416	0.11124	"Holling II"
"CR2"	13.6	0.0928	0.0798	0.1059	0.07424	0.11136	"Holling II"
"CR2"	13.7	0.0929	0.0798	0.106	0.07432	0.11148	"Holling II"
"CR2"	13.8	0.0931	0.0799	0.1062	0.07448	0.11172	"Holling II"
"CR2"	13.9	0.0932	0.0799	0.1064	0.07456	0.11184	"Holling II"
"CR2"	14	0.0933	0.08	0.1066	0.07464	0.11196	"Holling II"
"CR2"	14.1	0.0934	0.0801	0.1067	0.07472	0.11208	"Holling II"
"CR2"	14.2	0.0935	0.0801	0.1069	0.0748	0.1122	"Holling II"
"CR2"	14.3	0.0936	0.0802	0.1071	0.07488	0.11232	"Holling II"
"CR2"	14.4	0.0938	0.0803	0.1073	0.07504	0.11256	"Holling II"
"CR2"	14.5	0.0939	0.0803	0.1074	0.07512	0.11268	"Holling II"
"CR2"	14.6	0.094	0.0804	0.1076	0.0752	0.1128	"Holling II"
"CR2"	14.7	0.0941	0.0804	0.1078	0.07528	0.11292	"Holling II"
"CR2"	14.8	0.0942	0.0805	0.1079	0.07536	0.11304	"Holling II"
"CR2"	14.9	0.0943	0.0806	0.1081	0.07544	0.11316	"Holling II"
"CR2"	15	0.0944	0.0806	0.1082	0.07552	0.11328	"Holling II"
"CR3"	0.1	0.0027	0.0023	0.0031	0.00216	0.00324	"Holling II"
"CR3"	0.2	0.0053	0.0045	0.0061	0.00424	0.00636	"Holling II"
"CR3"	0.3	0.0078	0.0067	0.009	0.00624	0.00936	"Holling II"
"CR3"	0.4	0.0102	0.0088	0.0117	0.00816	0.01224	"Holling II"
"CR3"	0.5	0.0126	0.0109	0.0143	0.01008	0.01512	"Holling II"
"CR3"	0.6	0.0149	0.013	0.0168	0.01192	0.01788	"Holling II"
"CR3"	0.7	0.017	0.0149	0.0191	0.0136	0.0204	"Holling II"
"CR3"	0.8	0.0192	0.0169	0.0214	0.01536	0.02304	"Holling II"
"CR3"	0.9	0.0212	0.0188	0.0236	0.01696	0.02544	"Holling II"
"CR3"	1	0.0232	0.0207	0.0257	0.01856	0.02784	"Holling II"
"CR3"	1.1	0.0251	0.0225	0.0278	0.02008	0.03012	"Holling II"
"CR3"	1.2	0.027	0.0243	0.0297	0.0216	0.0324	"Holling II"
"CR3"	1.3	0.0288	0.026	0.0316	0.02304	0.03456	"Holling II"
"CR3"	1.4	0.0306	0.0277	0.0334	0.02448	0.0367	"Holling II"
"CR3"	1.5	0.0323	0.0294	0.0352	0.02584	0.0385	"Holling II"
"CR3"	1.6	0.0339	0.031	0.0368	0.02712	0.0402	"Holling II"
"CR3"	1.7	0.0355	0.0326	0.0385	0.0284	0.0419	"Holling II"
"CR3"	1.8	0.0371	0.0342	0.04	0.0298	0.0434	"Holling II"
"CR3"	1.9	0.0386	0.0357	0.0416	0.0312	0.045	"Holling II"
"CR3"	2	0.0401	0.0372	0.043	0.0327	0.0464	"Holling II"
"CR3"	2.1	0.0416	0.0387	0.0445	0.0341	0.0478	"Holling II"
"CR3"	2.2	0.043	0.0401	0.0458	0.0355	0.0492	"Holling II"
"CR3"	2.3	0.0443	0.0415	0.0472	0.0369	0.0505	"Holling II"
"CR3"	2.4	0.0457	0.0428	0.0485	0.0382	0.0518	"Holling II"
"CR3"	2.5	0.047	0.0442	0.0498	0.0395	0.053	"Holling II"
"CR3"	2.6	0.0482	0.0455	0.051	0.0408	0.0542	"Holling II"
"CR3"	2.7	0.0495	0.0467	0.0522	0.0421	0.0554	"Holling II"
"CR3"	2.8	0.0507	0.048	0.0534	0.0433	0.0566	"Holling II"
"CR3"	2.9	0.0518	0.0492	0.0545	0.0445	0.0577	"Holling II"
"CR3"	3	0.053	0.0503	0.0556	0.0457	0.0588	"Holling II"
"CR3"	3.1	0.0541	0.0515	0.0567	0.0468	0.0598	"Holling II"
"CR3"	3.2	0.0552	0.0526	0.0578	0.0479	0.0609	"Holling II"
"CR3"	3.3	0.0563	0.0537	0.0588	0.049	0.0619	"Holling II"
"CR3"	3.4	0.0573	0.0548	0.0599	0.05	0.063	"Holling II"
"CR3"	3.5	0.0583	0.0558	0.0609	0.0511	0.064	"Holling II"
"CR3"	3.6	0.0593	0.0568	0.0619	0.052	0.065	"Holling II"
